Avalanche Effect Test Results
==============================

Original	Modified	Hash1	Hash2	Bits Changed
vWsqRek	vWsqRekx	89	63	4
rWsqRek	sWsqRek	85	150	4
rWsqRek	rWsqRekx	85	195	4
rWsqPek	sWsqPek	211	20	5
rWsqPek	rWsqPekx	211	5	5
vWsqPek	wWsqPek	215	24	6
vWsqPek	vWsqPekx	215	129	4
vWsqQek	wWsqQek	152	217	2
vWsqQek	vWsqQekx	152	224	4
vWsaQek	wWsaQek	168	233	2
vWsaQek	vWsaQekx	168	208	4
vWsaqek	wWsaqek	200	9	3
vWsaqek	vWsaqekx	200	176	4
vWsasek	wWsasek	74	139	3
vWsasek	vWsasekx	74	110	2
vWsarek	wWsarek	137	202	3
vWsarek	vWsarekx	137	15	3
vWrarek	wWrarek	8	73	2
vWrarek	vWrarekx	8	112	4
vWrerek	wWrerek	132	197	2
vWrerek	vWrerekx	132	116	4
vWverek	wWverek	136	201	2
vWverek	vWverekx	136	240	4
vWvereK	wWvereK	104	169	3
vWvereK	vWvereKx	104	16	4
vWveraK	wWveraK	236	45	3
vWveraK	vWveraKx	236	12	3
vWveraJ	wWveraJ	235	44	5
vWveraJ	vWveraJx	235	237	2
vWveraj	wWveraj	11	76	4
vWveraj	vWverajx	11	205	4
vWvEraj	wWvEraj	43	108	4
vWvEraj	vWvErajx	43	173	3
vWvErcj	wWvErcj	105	170	4
vWvErcj	vWvErcjx	105	47	3
vWvErcb	wWvErcb	97	162	4
vWvErcb	vWvErcbx	97	55	4
vWvErsb	wWvErsb	81	146	4
vWvErsb	vWvErsbx	81	71	3
fWvErsb	gWvErsb	65	130	4
fWvErsb	fWvErsbx	65	87	3
fWvDrsb	gWvDrsb	226	35	3
fWvDrsb	fWvDrsbx	226	214	3
fWvDrqb	gWvDrqb	164	229	2
fWvDrqb	fWvDrqbx	164	84	4
fWvDrub	gWvDrub	32	97	2
fWvDrub	fWvDrubx	32	88	4
fWwDrub	gWwDrub	161	226	3
fWwDrub	fWwDrubx	161	247	4
fWsDrub	gWsDrub	157	222	3
fWsDrub	fWsDrubx	157	123	5
fWsDrUb	gWsDrUb	189	254	3
fWsDrUb	fWsDrUbx	189	91	5
fUsDrUb	gUsDrUb	127	192	7
fUsDrUb	fUsDrUbx	127	217	4
dUsDrUb	eUsDrUb	253	62	4
dUsDrUb	dUsDrUbx	253	27	5
dUsDrub	eUsDrub	221	30	4
dUsDrub	dUsDrubx	221	59	5
dUsDrwb	eUsDrwb	27	92	4
dUsDrwb	dUsDrwbx	27	189	4
tUsDrwb	uUsDrwb	43	108	4
tUsDrwb	tUsDrwbx	43	173	3
tUqDrwb	uUqDrwb	41	106	3
tUqDrwb	tUqDrwbx	41	111	3
tUqDvwb	uUqDvwb	45	110	3
tUqDvwb	tUqDvwbx	45	235	4
tTqDvwb	uTqDvwb	142	207	2
tTqDvwb	tTqDvwbx	142	170	2
tUqDvwb	uUqDvwb	45	110	3
tUqDvwb	tUqDvwbx	45	235	4
tUqdvwb	uUqdvwb	13	78	3
tUqdvwb	tUqdvwbx	13	11	2
tUqdvvb	uUqdvvb	238	47	3
tUqdvvb	tUqdvvbx	238	74	3
tUqlvvb	uUqlvvb	230	39	3
tUqlvvb	tUqlvvbx	230	82	4
tUqLvvb	uUqLvvb	6	71	2
tUqLvvb	tUqLvvbx	6	50	3
tUqLrvb	uUqLrvb	2	67	2
tUqLrvb	tUqLrvbx	2	182	4
tUqDrvb	uUqDrvb	10	75	2
tUqDrvb	tUqDrvbx	10	174	3
tuqDrvb	uuqDrvb	234	43	3
tuqDrvb	tuqDrvbx	234	206	2
tuqD2vb	uuqD2vb	170	235	2
tuqD2vb	tuqD2vbx	170	14	3
tuqd2vb	uuqd2vb	138	203	2
tuqd2vb	tuqd2vbx	138	46	3
tuqd2vr	uuqd2vr	154	219	2
tuqd2vr	tuqd2vrx	154	30	2
tuqd3vr	uuqd3vr	91	156	5
tuqd3vr	tuqd3vrx	91	125	3
tuad3vr	uuad3vr	75	140	5
tuad3vr	tuad3vrx	75	141	4
tuad3vp	uuad3vp	73	138	4
tuad3vp	tuad3vpx	73	79	2
t5ad3vp	u5ad3vp	137	202	3
t5ad3vp	t5ad3vpx	137	15	3
t5ad3vq	u5ad3vq	138	203	2
t5ad3vq	t5ad3vqx	138	46	3
t5af3vq	u5af3vq	72	137	3
t5af3vq	t5af3vqx	72	48	4
t5av3vq	u5av3vq	56	121	2
t5av3vq	t5av3vqx	56	64	4
t5aV3vq	u5aV3vq	88	153	3
t5aV3vq	t5aV3vqx	88	32	4
t5aT3vq	u5aT3vq	154	219	2
t5aT3vq	t5aT3vqx	154	30	2
t5cT3vq	u5cT3vq	156	221	2
t5cT3vq	t5cT3vqx	156	92	2
T5cT3vq	U5cT3vq	124	189	3
T5cT3vq	T5cT3vqx	124	124	0
V5cT3vq	W5cT3vq	254	63	3
V5cT3vq	V5cT3vqx	254	58	3
R5cT3vq	S5cT3vq	250	59	3
R5cT3vq	R5cT3vqx	250	190	2
R4cT3vq	S4cT3vq	91	156	5
R4cT3vq	R4cT3vqx	91	125	3
RtcT3vq	StcT3vq	27	92	4
RtcT3vq	RtcT3vqx	27	189	4
RtcV3vq	StcV3vq	217	26	4
RtcV3vq	RtcV3vqx	217	191	4
RtcV3va	StcV3va	201	10	4
RtcV3va	RtcV3vax	201	207	2
RtsV3va	StsV3va	217	26	4
RtsV3va	RtsV3vax	217	191	4
RtsV7va	StsV7va	221	30	4
RtsV7va	RtsV7vax	221	59	5
RtsV7vA	StsV7vA	189	254	3
RtsV7vA	RtsV7vAx	189	91	5
RtsV3vA	StsV3vA	185	250	3
RtsV3vA	RtsV3vAx	185	223	4
RtsT3vA	StsT3vA	251	60	5
RtsT3vA	RtsT3vAx	251	221	3
RtsU3vA	StsU3vA	90	155	3
RtsU3vA	RtsU3vAx	90	94	1
rtsU3vA	stsU3vA	122	187	3
rtsU3vA	rtsU3vAx	122	62	2
rtsU3rA	stsU3rA	254	63	3
rtsU3rA	rtsU3rAx	254	58	3
rtsQ3rA	stsQ3rA	130	195	2
rtsQ3rA	rtsQ3rAx	130	54	4
rusQ3rA	susQ3rA	33	98	3
rusQ3rA	rusQ3rAx	33	119	4
rusQ32A	susQ32A	97	162	4
rusQ32A	rusQ32Ax	97	55	4
ruwQ32A	suwQ32A	101	166	4
ruwQ32A	ruwQ32Ax	101	179	5
ru7Q32A	su7Q32A	37	102	3
ru7Q32A	ru7Q32Ax	37	243	5
ru7Q36A	su7Q36A	161	226	3
ru7Q36A	ru7Q36Ax	161	247	4
rU7Q36A	sU7Q36A	193	2	4
rU7Q36A	rU7Q36Ax	193	215	3
rU7Q36I	sU7Q36I	201	10	4
rU7Q36I	rU7Q36Ix	201	207	2
rT7Q36I	sT7Q36I	42	107	2
rT7Q36I	rT7Q36Ix	42	142	3
rT3Q36I	sT3Q36I	38	103	2
rT3Q36I	rT3Q36Ix	38	18	3
rT3U36I	sT3U36I	162	227	2
rT3U36I	rT3U36Ix	162	22	4
rT3U32I	sT3U32I	38	103	2
rT3U32I	rT3U32Ix	38	18	3
rT3U22I	sT3U22I	101	166	4
rT3U22I	rT3U22Ix	101	179	5
rT3U20I	sT3U20I	39	104	5
rT3U20I	rT3U20Ix	39	49	3
rT3U60I	sT3U60I	43	108	4
rT3U60I	rT3U60Ix	43	173	3
rP3U60I	sP3U60I	175	240	6
rP3U60I	rP3U60Ix	175	169	2
rP3U60K	sP3U60K	177	242	3
rP3U60K	rP3U60Kx	177	231	4
rP7U60K	sP7U60K	181	246	3
rP7U60K	rP7U60Kx	181	99	5
rp7U60K	sp7U60K	149	214	3
rp7U60K	rp7U60Kx	149	131	3
rp5U60K	sp5U60K	147	212	4
rp5U60K	rp5U60Kx	147	69	5
rp5W60K	sp5W60K	81	146	4
rp5W60K	rp5W60Kx	81	71	3
r05W60K	s05W60K	145	210	3
r05W60K	r05W60Kx	145	7	4
r05W20K	s05W20K	141	206	3
r05W20K	r05W20Kx	141	139	2
r45W20K	s45W20K	9	74	3
r45W20K	r45W20Kx	9	143	3
r44W20K	s44W20K	136	201	2
r44W20K	r44W20Kx	136	240	4
r44G20K	s44G20K	152	217	2
r44G20K	r44G20Kx	152	224	4
r44O20K	s44O20K	144	209	2
r44O20K	r44O20Kx	144	232	4
r44O00K	s44O00K	14	79	2
r44O00K	r44O00Kx	14	42	2
r44O40K	s44O40K	18	83	2
r44O40K	r44O40Kx	18	166	4
p44O40K	q44O40K	144	209	2
p44O40K	p44O40Kx	144	232	4
p46O40K	q46O40K	146	211	2
p46O40K	p46O40Kx	146	38	4
p46O41K	q46O41K	177	242	3
p46O41K	p46O41Kx	177	231	4
p46O51K	q46O51K	114	179	3
p46O51K	p46O51Kx	114	70	3
p56O51K	q56O51K	17	82	3
p56O51K	p56O51Kx	17	135	4
r56O51K	s56O51K	147	212	4
r56O51K	r56O51Kx	147	69	5
r56K51K	s56K51K	23	88	5
r56K51K	r56K51Kx	23	65	4
r56K53K	s56K53K	85	150	4
r56K53K	r56K53Kx	85	195	4
r56K13K	s56K13K	81	146	4
r56K13K	r56K13Kx	81	71	3
b56K13K	c56K13K	65	130	4
b56K13K	b56K13Kx	65	87	3
b56k13K	c56k13K	33	98	3
b56k13K	b56k13Kx	33	119	4
b54k13K	c54k13K	31	96	7
b54k13K	b54k13Kx	31	57	3
b54k53K	c54k53K	35	100	4
b54k53K	b54k53Kx	35	181	4
b54k57K	c54k57K	159	224	7
b54k57K	b54k57Kx	159	185	3
b14k57K	c14k57K	35	100	4
b14k57K	b14k57Kx	35	181	4
b14k77K	c14k77K	165	230	3
b14k77K	b14k77Kx	165	115	5
b14i77K	c14i77K	231	40	6
b14i77K	b14i77Kx	231	113	4
b15i77K	c15i77K	104	169	3
b15i77K	b15i77Kx	104	16	4
b35i77K	c35i77K	166	231	2
b35i77K	b35i77Kx	166	146	3
b35h77K	c35h77K	71	136	6
b35h77K	b35h77Kx	71	17	4
b35h67K	c35h67K	134	199	2
b35h67K	b35h67Kx	134	178	3
b35h67I	c35h67I	132	197	2
b35h67I	b35h67Ix	132	116	4
b35i67I	c35i67I	227	36	5
b35i67I	b35i67Ix	227	245	3
f35i67I	g35i67I	231	40	6
f35i67I	f35i67Ix	231	113	4
fs5i67I	gs5i67I	167	232	5
fs5i67I	fs5i67Ix	167	177	3
fs5I67I	gs5I67I	199	8	6
fs5I67I	fs5I67Ix	199	145	4
fs5I6wI	gs5I6wI	135	200	5
fs5I6wI	fs5I6wIx	135	209	4
fc5I6wI	gc5I6wI	151	216	5
fc5I6wI	fc5I6wIx	151	193	4
fc1I6wI	gc1I6wI	147	212	4
fc1I6wI	fc1I6wIx	147	69	5
fc5I6wI	gc5I6wI	151	216	5
fc5I6wI	fc5I6wIx	151	193	4
fc1I6wI	gc1I6wI	147	212	4
fc1I6wI	fc1I6wIx	147	69	5
fc1I6wH	gc1I6wH	146	211	2
fc1I6wH	fc1I6wHx	146	38	4
fc1I6wL	gc1I6wL	150	215	2
fc1I6wL	fc1I6wLx	150	162	3
fc1IvwL	gc1IvwL	214	23	3
fc1IvwL	fc1IvwLx	214	98	4
vc1IvwL	wc1IvwL	230	39	3
vc1IvwL	vc1IvwLx	230	82	4
va1IvwL	wa1IvwL	168	233	2
va1IvwL	va1IvwLx	168	208	4
ve1IvwL	we1IvwL	36	101	2
ve1IvwL	ve1IvwLx	36	212	4
ve1IvuL	we1IvuL	230	39	3
ve1IvuL	ve1IvuLx	230	82	4
te1IvuL	ue1IvuL	100	165	3
te1IvuL	te1IvuLx	100	148	4
ta1IvuL	ua1IvuL	232	41	3
ta1IvuL	ta1IvuLx	232	144	4
ta1IwuL	ua1IwuL	169	234	3
ta1IwuL	ta1IwuLx	169	239	3
ta1IwUL	ua1IwUL	201	10	4
ta1IwUL	ta1IwULx	201	207	2
ta1IwuL	ua1IwuL	169	234	3
ta1IwuL	ta1IwuLx	169	239	3
ta1IwuD	ua1IwuD	161	226	3
ta1IwuD	ta1IwuDx	161	247	4
ta1IuuD	ua1IuuD	31	96	7
ta1IuuD	ta1IuuDx	31	57	3
ta1I5uD	ua1I5uD	223	32	8
ta1I5uD	ta1I5uDx	223	121	4
ta1I4uD	ua1I4uD	30	95	2
ta1I4uD	ta1I4uDx	30	26	1
ta1I0uD	ua1I0uD	26	91	2
ta1I0uD	ta1I0uDx	26	158	2
ta1I0uL	ua1I0uL	34	99	2
ta1I0uL	ta1I0uLx	34	150	4
ta1I8uL	ua1I8uL	42	107	2
ta1I8uL	ta1I8uLx	42	142	3
te1I8uL	ue1I8uL	166	231	2
te1I8uL	te1I8uLx	166	146	3
te1IxuL	ue1IxuL	230	39	3
te1IxuL	te1IxuLx	230	82	4
te1IzuL	ue1IzuL	104	169	3
te1IzuL	te1IzuLx	104	16	4
tE1IzuL	uE1IzuL	136	201	2
tE1IzuL	tE1IzuLx	136	240	4
vE1IzuL	wE1IzuL	10	75	2
vE1IzuL	vE1IzuLx	10	174	3
vE1IxuL	wE1IxuL	136	201	2
vE1IxuL	vE1IxuLx	136	240	4
vEqIxuL	wEqIxuL	200	9	3
vEqIxuL	vEqIxuLx	200	176	4
vEqIyuL	wEqIyuL	137	202	3
vEqIyuL	vEqIyuLx	137	15	3
vEqIytL	wEqIytL	106	171	3
vEqIytL	vEqIytLx	106	78	2
vEqIyuL	wEqIyuL	137	202	3
vEqIyuL	vEqIyuLx	137	15	3
vEqI9uL	wEqI9uL	73	138	4
vEqI9uL	vEqI9uLx	73	79	2
vEqIyuL	wEqIyuL	137	202	3
vEqIyuL	vEqIyuLx	137	15	3
veqIyuL	weqIyuL	105	170	4
veqIyuL	veqIyuLx	105	47	3
veuIyuL	weuIyuL	109	174	4
veuIyuL	veuIyuLx	109	171	4
veuIyuN	weuIyuN	111	176	7
veuIyuN	veuIyuNx	111	233	3
veuIyqN	weuIyqN	243	52	5
veuIyqN	veuIyqNx	243	229	3
veuKyqN	weuKyqN	177	242	3
veuKyqN	veuKyqNx	177	231	4
veuIyqN	weuIyqN	243	52	5
veuIyqN	veuIyqNx	243	229	3
veuiyqN	weuiyqN	211	20	5
veuiyqN	veuiyqNx	211	5	5
veumyqN	weumyqN	79	144	7
veumyqN	veumyqNx	79	9	3
vmumyqN	wmumyqN	71	136	6
vmumyqN	vmumyqNx	71	17	4
vmUmyqN	wmUmyqN	39	104	5
vmUmyqN	vmUmyqNx	39	49	3
voUmyqN	woUmyqN	101	166	4
voUmyqN	voUmyqNx	101	179	5
voUmxqN	woUmxqN	164	229	2
voUmxqN	voUmxqNx	164	84	4
voUlxqN	woUlxqN	69	134	4
voUlxqN	voUlxqNx	69	211	4
vnUlxqN	wnUlxqN	166	231	2
vnUlxqN	vnUlxqNx	166	146	3
vnUlxqL	wnUlxqL	164	229	2
vnUlxqL	vnUlxqLx	164	84	4
vnUlxuL	wnUlxuL	32	97	2
vnUlxuL	vnUlxuLx	32	88	4
vnUlxul	wnUlxul	64	129	3
vnUlxul	vnUlxulx	64	56	4
vnElxul	wnElxul	48	113	2
vnElxul	vnElxulx	48	72	4
vnelxul	wnelxul	80	145	3
vnelxul	vnelxulx	80	40	4
vnalxul	wnalxul	76	141	3
vnalxul	vnalxulx	76	172	3
rnalxul	snalxul	72	137	3
rnalxul	rnalxulx	72	48	4
rnalx5l	snalx5l	136	201	2
rnalx5l	rnalx5lx	136	240	4
rnal85l	snal85l	72	137	3
rnal85l	rnal85lx	72	48	4
rnal85d	snal85d	64	129	3
rnal85d	rnal85dx	64	56	4
rnil85d	snil85d	72	137	3
rnil85d	rnil85dx	72	48	4
rnid85d	snid85d	80	145	3
rnid85d	rnid85dx	80	40	4
rNid85d	sNid85d	112	177	3
rNid85d	rNid85dx	112	8	4
rNkd85d	sNkd85d	114	179	3
rNkd85d	rNkd85dx	114	70	3
rOkd85d	sOkd85d	17	82	3
rOkd85d	rOkd85dx	17	135	4
rOkd85l	sOkd85l	25	90	3
rOkd85l	rOkd85lx	25	127	4
rOkd85h	sOkd85h	21	86	3
rOkd85h	rOkd85hx	21	3	3
rOKd85h	sOKd85h	245	54	4
rOKd85h	rOKd85hx	245	35	5
rOKdx5h	sOKdx5h	53	118	3
rOKdx5h	rOKdx5hx	53	227	5
rOKdx1h	sOKdx1h	185	250	3
rOKdx1h	rOKdx1hx	185	223	4
ROKdx1h	SOKdx1h	153	218	3
ROKdx1h	ROKdx1hx	153	255	4
SOKdx1h	TOKdx1h	218	27	3
SOKdx1h	SOKdx1hx	218	222	1
SNKdx1h	TNKdx1h	59	124	4
SNKdx1h	SNKdx1hx	59	157	4
SNKtx1h	TNKtx1h	43	108	4
SNKtx1h	SNKtx1hx	43	173	3
SNKtx9h	TNKtx9h	35	100	4
SNKtx9h	SNKtx9hx	35	181	4
SNKtp9h	TNKtp9h	27	92	4
SNKtp9h	SNKtp9hx	27	189	4
SNKtp8h	TNKtp8h	252	61	3
SNKtp8h	SNKtp8hx	252	252	0
WNKtp8h	XNKtp8h	0	65	2
WNKtp8h	WNKtp8hx	0	120	4
WnKtp8h	XnKtp8h	224	33	3
WnKtp8h	WnKtp8hx	224	152	4
WnJtp8h	XnJtp8h	95	160	8
WnJtp8h	WnJtp8hx	95	249	4
WoJtp8h	XoJtp8h	254	63	3
WoJtp8h	WoJtp8hx	254	58	3
WoKtp8h	XoKtp8h	127	192	7
WoKtp8h	WoKtp8hx	127	217	4
WoKtp9h	XoKtp9h	158	223	2
WoKtp9h	WoKtp9hx	158	154	1
WoKdp9h	XoKdp9h	174	239	2
WoKdp9h	WoKdp9hx	174	138	2
WoKdp9l	XoKdp9l	178	243	2
WoKdp9l	WoKdp9lx	178	6	4
WoCdp9l	XoCdp9l	170	235	2
WoCdp9l	WoCdp9lx	170	14	3
WkCdp9l	XkCdp9l	46	111	2
WkCdp9l	WkCdp9lx	46	10	2
WkCdp8l	XkCdp8l	15	80	6
WkCdp8l	WkCdp8lx	15	73	3
WkCdp8d	XkCdp8d	7	72	5
WkCdp8d	WkCdp8dx	7	81	4
WkCdp8D	XkCdp8D	231	40	6
WkCdp8D	WkCdp8Dx	231	113	4
WkCep8D	XkCep8D	70	135	3
WkCep8D	WkCep8Dx	70	242	4
WkGep8D	XkGep8D	74	139	3
WkGep8D	WkGep8Dx	74	110	2
WkGep8F	XkGep8F	76	141	3
WkGep8F	WkGep8Fx	76	172	3
WkFep8F	XkFep8F	203	12	5
WkFep8F	WkFep8Fx	203	13	4
WkFepxF	XkFepxF	139	204	4
WkFepxF	WkFepxFx	139	77	4
WkfepxF	XkfepxF	171	236	4
WkfepxF	WkfepxFx	171	45	3
WkbepxF	XkbepxF	167	232	5
WkbepxF	WkbepxFx	167	177	3
GkbepxF	HkbepxF	151	216	5
GkbepxF	GkbepxFx	151	193	4
GkbepzF	HkbepzF	213	22	4
GkbepzF	GkbepzFx	213	67	4
GkBepzF	HkBepzF	181	246	3
GkBepzF	GkBepzFx	181	99	5
GkBePzF	HkBePzF	149	214	3
GkBePzF	GkBePzFx	149	131	3
WkBePzF	XkBePzF	165	230	3
WkBePzF	WkBePzFx	165	115	5
WkBePzG	XkBePzG	166	231	2
WkBePzG	WkBePzGx	166	146	3
WkBeRzG	XkBeRzG	40	105	2
WkBeRzG	WkBeRzGx	40	80	4
WkBeRjG	XkBeRjG	56	121	2
WkBeRjG	WkBeRjGx	56	64	4
WkBdRjG	XkBdRjG	217	26	4
WkBdRjG	WkBdRjGx	217	191	4
WkBdRjC	XkBdRjC	213	22	4
WkBdRjC	WkBdRjCx	213	67	4
WkBdRjK	XkBdRjK	221	30	4
WkBdRjK	WkBdRjKx	221	59	5
WKBdRjK	XKBdRjK	253	62	4
WKBdRjK	WKBdRjKx	253	27	5
WKBdRjk	XKBdRjk	29	94	3
WKBdRjk	WKBdRjkx	29	251	5
WKBdRjj	XKBdRjj	28	93	2
WKBdRjj	WKBdRjjx	28	220	2
WIBdRjj	XIBdRjj	222	31	3
WIBdRjj	WIBdRjjx	222	90	2
WICdRjj	XICdRjj	95	160	8
WICdRjj	WICdRjjx	95	249	4
WIClRjj	XIClRjj	87	152	6
WIClRjj	WIClRjjx	87	1	4
WIChRjj	XIChRjj	219	28	5
WIChRjj	WIChRjjx	219	253	3
WICiRjj	XICiRjj	58	123	2
WICiRjj	WICiRjjx	58	126	2
WISiRjj	XISiRjj	74	139	3
WISiRjj	WISiRjjx	74	110	2
WIWiRjj	XIWiRjj	78	143	3
WIWiRjj	WIWiRjjx	78	234	3
UIWiRjj	VIWiRjj	204	13	3
UIWiRjj	UIWiRjjx	204	44	3
uIWiRjj	vIWiRjj	236	45	3
uIWiRjj	uIWiRjjx	236	12	3
uIWiRbj	vIWiRbj	244	53	3
uIWiRbj	uIWiRbjx	244	4	4
uIWiRjj	vIWiRjj	236	45	3
uIWiRjj	uIWiRjjx	236	12	3
uIGiRjj	vIGiRjj	220	29	3
uIGiRjj	uIGiRjjx	220	28	2
uAGiRjj	vAGiRjj	228	37	3
uAGiRjj	uAGiRjjx	228	20	4
uAGiRjJ	vAGiRjJ	196	5	3
uAGiRjJ	uAGiRjJx	196	52	4
uAGirjJ	vAGirjJ	228	37	3
uAGirjJ	uAGirjJx	228	20	4
uAGIrjJ	vAGIrjJ	4	69	2
uAGIrjJ	uAGIrjJx	4	244	4
uACIrjJ	vACIrjJ	0	65	2
uACIrjJ	uACIrjJx	0	120	4
uACIrkJ	vACIrkJ	31	96	7
uACIrkJ	uACIrkJx	31	57	3
uICIrkJ	vICIrkJ	23	88	5
uICIrkJ	uICIrkJx	23	65	4
uIAIrkJ	vIAIrkJ	21	86	3
uIAIrkJ	uIAIrkJx	21	3	3
uIAIrkZ	vIAIrkZ	37	102	3
uIAIrkZ	uIAIrkZx	37	243	5
uiAIrkZ	viAIrkZ	5	70	3
uiAIrkZ	uiAIrkZx	5	19	3
uiAIpkZ	viAIpkZ	131	196	4
uiAIpkZ	uiAIpkZx	131	85	5
uiAIpiZ	viAIpiZ	69	134	4
uiAIpiZ	uiAIpiZx	69	211	4
uiAKpiZ	viAKpiZ	3	68	4
uiAKpiZ	uiAKpiZx	3	213	5
tiAKpiZ	uiAKpiZ	194	3	3
tiAKpiZ	tiAKpiZx	194	246	3
diAKpiZ	eiAKpiZ	178	243	2
diAKpiZ	diAKpiZx	178	6	4
tiAKpiZ	uiAKpiZ	194	3	3
tiAKpiZ	tiAKpiZx	194	246	3
diAKpiZ	eiAKpiZ	178	243	2
diAKpiZ	diAKpiZx	178	6	4
diaKpiZ	eiaKpiZ	210	19	3
diaKpiZ	diaKpiZx	210	230	3
diaKtiZ	eiaKtiZ	214	23	3
diaKtiZ	diaKtiZx	214	98	4
diiKtiZ	eiiKtiZ	222	31	3
diiKtiZ	diiKtiZx	222	90	2
diiCtiZ	eiiCtiZ	230	39	3
diiCtiZ	diiCtiZx	230	82	4
dhiCtiZ	ehiCtiZ	71	136	6
dhiCtiZ	dhiCtiZx	71	17	4
dhkCtiZ	ehkCtiZ	73	138	4
dhkCtiZ	dhkCtiZx	73	79	2
dhKCtiZ	ehKCtiZ	41	106	3
dhKCtiZ	dhKCtiZx	41	111	3
dhKCtiJ	ehKCtiJ	25	90	3
dhKCtiJ	dhKCtiJx	25	127	4
dhKCtiH	ehKCtiH	23	88	5
dhKCtiH	dhKCtiHx	23	65	4
dhKCtiL	ehKCtiL	27	92	4
dhKCtiL	dhKCtiLx	27	189	4
dhKCuiL	ehKCuiL	220	29	3
dhKCuiL	dhKCuiLx	220	28	2
dhKSuiL	ehKSuiL	204	13	3
dhKSuiL	dhKSuiLx	204	44	3
dhCSuiL	ehCSuiL	196	5	3
dhCSuiL	dhCSuiLx	196	52	4
dhCSuhL	ehCSuhL	165	230	3
dhCSuhL	dhCSuhLx	165	115	5
dhCSuhl	ehCSuhl	197	6	4
dhCSuhl	dhCSuhlx	197	83	4
dhCSwhl	ehCSwhl	71	136	6
dhCSwhl	dhCSwhlx	71	17	4
dhSSwhl	ehSSwhl	87	152	6
dhSSwhl	dhSSwhlx	87	1	4
dhSSshl	ehSSshl	83	148	5
dhSSshl	dhSSshlx	83	133	5
dxSSshl	exSSshl	67	132	5
dxSSshl	dxSSshlx	67	149	5
dxSQshl	exSQshl	133	198	3
dxSQshl	dxSQshlx	133	147	3
DxSQshl	ExSQshl	101	166	4
DxSQshl	DxSQshlx	101	179	5
DxSPshl	ExSPshl	6	71	2
DxSPshl	DxSPshlx	6	50	3
DySPshl	EySPshl	165	230	3
DySPshl	DySPshlx	165	115	5
DySPsjl	EySPsjl	227	36	5
DySPsjl	DySPsjlx	227	245	3
DySPsjn	EySPsjn	229	38	4
DySPsjn	DySPsjnx	229	51	5
DYSPsjn	EYSPsjn	5	70	3
DYSPsjn	DYSPsjnx	5	19	3
LYSPsjn	MYSPsjn	13	78	3
LYSPsjn	LYSPsjnx	13	11	2
LYSPshn	MYSPshn	207	16	7
LYSPshn	LYSPshnx	207	137	3
LYSPsln	MYSPsln	75	140	5
LYSPsln	LYSPslnx	75	141	4
MYSPsln	NYSPsln	140	205	2
MYSPsln	MYSPslnx	140	108	3
MQSPsln	NQSPsln	148	213	2
MQSPsln	MQSPslnx	148	100	4
MYSPsln	NYSPsln	140	205	2
MYSPsln	MYSPslnx	140	108	3
MYCPsln	NYCPsln	124	189	3
MYCPsln	MYCPslnx	124	124	0
MYCPsnn	NYCPsnn	186	251	2
MYCPsnn	MYCPsnnx	186	254	2
MICPsnn	NICPsnn	202	11	3
MICPsnn	MICPsnnx	202	238	2
MICRsnn	NICRsnn	136	201	2
MICRsnn	MICRsnnx	136	240	4
MICRwnn	NICRwnn	140	205	2
MICRwnn	MICRwnnx	140	108	3
IICRwnn	JICRwnn	136	201	2
IICRwnn	IICRwnnx	136	240	4
IICRwon	JICRwon	167	232	5
IICRwon	IICRwonx	167	177	3
IIcRwon	JIcRwon	199	8	6
IIcRwon	IIcRwonx	199	145	4
IIcRwgn	JIcRwgn	207	16	7
IIcRwgn	IIcRwgnx	207	137	3
IIcSwgn	JIcSwgn	46	111	2
IIcSwgn	IIcSwgnx	46	10	2
IIcS7gn	JIcS7gn	238	47	3
IIcS7gn	IIcS7gnx	238	74	3
IIcS7gf	JIcS7gf	230	39	3
IIcS7gf	IIcS7gfx	230	82	4
IIcS7Gf	JIcS7Gf	6	71	2
IIcS7Gf	IIcS7Gfx	6	50	3
IHcS7Gf	JHcS7Gf	103	168	6
IHcS7Gf	IHcS7Gfx	103	241	4
IXcS7Gf	JXcS7Gf	87	152	6
IXcS7Gf	IXcS7Gfx	87	1	4
IXcS5Gf	JXcS5Gf	213	22	4
IXcS5Gf	IXcS5Gfx	213	67	4
IXbS5Gf	JXbS5Gf	84	149	3
IXbS5Gf	IXbS5Gfx	84	164	4
iXbS5Gf	jXbS5Gf	116	181	3
iXbS5Gf	iXbS5Gfx	116	132	4
iXbS1Gf	jXbS1Gf	112	177	3
iXbS1Gf	iXbS1Gfx	112	8	4
iXbS1Wf	jXbS1Wf	96	161	3
iXbS1Wf	iXbS1Wfx	96	24	4
iYbS1Wf	jYbS1Wf	255	64	7
iYbS1Wf	iYbS1Wfx	255	89	4
iYbS1Sf	jYbS1Sf	131	196	4
iYbS1Sf	iYbS1Sfx	131	85	5
iYbS1Qf	jYbS1Qf	69	134	4
iYbS1Qf	iYbS1Qfx	69	211	4
iYbS1Qv	jYbS1Qv	85	150	4
iYbS1Qv	iYbS1Qvx	85	195	4
iYrS1Qv	jYrS1Qv	101	166	4
iYrS1Qv	iYrS1Qvx	101	179	5
iYrS9Qv	jYrS9Qv	109	174	4
iYrS9Qv	iYrS9Qvx	109	171	4
kYrS9Qv	lYrS9Qv	239	48	7
kYrS9Qv	kYrS9Qvx	239	105	3
kYrC9Qv	lYrC9Qv	255	64	7
