Avalanche Effect Test Results
==============================

Original	Modified	Hash1	Hash2	Bits Changed
RdNRKnW	SdNRKnW	222	31	3
RdNRKnW	RdNRKnWx	222	90	2
RdFRKnW	SdFRKnW	214	23	3
RdFRKnW	RdFRKnWx	214	98	4
RdFRknW	SdFRknW	246	55	3
RdFRknW	RdFRknWx	246	66	4
RdNRknW	SdNRknW	254	63	3
RdNRknW	RdNRknWx	254	58	3
RdNRknw	SdNRknw	30	95	2
RdNRknw	RdNRknwx	30	26	1
RdFRknw	SdFRknw	22	87	2
RdFRknw	RdFRknwx	22	34	3
RdFRkow	SdFRkow	53	118	3
RdFRkow	RdFRkowx	53	227	5
RdFRkOw	SdFRkOw	85	150	4
RdFRkOw	RdFRkOwx	85	195	4
RdGRkOw	SdGRkOw	214	23	3
RdGRkOw	RdGRkOwx	214	98	4
RdGrkOw	SdGrkOw	182	247	2
RdGrkOw	RdGrkOwx	182	130	3
RdGriOw	SdGriOw	52	117	2
RdGriOw	RdGriOwx	52	196	4
RdGRiOw	SdGRiOw	84	149	3
RdGRiOw	RdGRiOwx	84	164	4
RdGPiOw	SdGPiOw	150	215	2
RdGPiOw	RdGPiOwx	150	162	3
BdGPiOw	CdGPiOw	134	199	2
BdGPiOw	BdGPiOwx	134	178	3
BfGPiOw	CfGPiOw	196	5	3
BfGPiOw	BfGPiOwx	196	52	4
BfGPiOv	CfGPiOv	195	4	5
BfGPiOv	BfGPiOvx	195	21	5
BfgPiOv	CfgPiOv	227	36	5
BfgPiOv	BfgPiOvx	227	245	3
BfgTiOv	CfgTiOv	95	160	8
BfgTiOv	BfgTiOvx	95	249	4
FfgTiOv	GfgTiOv	99	164	5
FfgTiOv	FfgTiOvx	99	117	3
FfgTiov	GfgTiov	67	132	5
FfgTiov	FfgTiovx	67	149	5
FfgTio6	GfgTio6	3	68	4
FfgTio6	FfgTio6x	3	213	5
FfcTio6	GfcTio6	255	64	7
FfcTio6	FfcTio6x	255	89	4
VfcTio6	WfcTio6	15	80	6
VfcTio6	VfcTio6x	15	73	3
FfcTio6	GfcTio6	255	64	7
FfcTio6	FfcTio6x	255	89	4
FfcTio4	GfcTio4	253	62	4
FfcTio4	FfcTio4x	253	27	5
FfcTin4	GfcTin4	222	31	3
FfcTin4	FfcTin4x	222	90	2
FfcTin5	GfcTin5	223	32	8
FfcTin5	FfcTin5x	223	121	4
FfcThn5	GfcThn5	30	95	2
FfcThn5	FfcThn5x	30	26	1
VfcThn5	WfcThn5	46	111	2
VfcThn5	VfcThn5x	46	10	2
VfCThn5	WfCThn5	14	79	2
VfCThn5	VfCThn5x	14	42	2
VgCThn5	WgCThn5	173	238	3
VgCThn5	VgCThn5x	173	107	4
VgCVhn5	WgCVhn5	107	172	5
VgCVhn5	VgCVhn5x	107	109	2
VgCvhn5	WgCvhn5	75	140	5
VgCvhn5	VgCvhn5x	75	141	4
VgCvhl5	WgCvhl5	13	78	3
VgCvhl5	VgCvhl5x	13	11	2
VgC6hl5	WgC6hl5	77	142	4
VgC6hl5	VgC6hl5x	77	203	3
TgC6hl5	UgC6hl5	203	12	5
TgC6hl5	TgC6hl5x	203	13	4
TgC2hl5	UgC2hl5	79	144	7
TgC2hl5	TgC2hl5x	79	9	3
TgCrhl5	UgCrhl5	15	80	6
TgCrhl5	TgCrhl5x	15	73	3
Tgcrhl5	Ugcrhl5	47	112	6
Tgcrhl5	Tgcrhl5x	47	41	2
Tgcrhl7	Ugcrhl7	49	114	3
Tgcrhl7	Tgcrhl7x	49	103	4
Tgcrjl7	Ugcrjl7	179	244	4
Tgcrjl7	Tgcrjl7x	179	37	4
Tgc2jl7	Ugc2jl7	243	52	5
Tgc2jl7	Tgc2jl7x	243	229	3
Dgc2jl7	Egc2jl7	227	36	5
Dgc2jl7	Dgc2jl7x	227	245	3
Tgc2jl7	Ugc2jl7	243	52	5
Tgc2jl7	Tgc2jl7x	243	229	3
Tgc2jl3	Ugc2jl3	239	48	7
Tgc2jl3	Tgc2jl3x	239	105	3
Tgb2jl3	Ugb2jl3	110	175	3
Tgb2jl3	Tgb2jl3x	110	202	3
Tgb2jm3	Ugb2jm3	141	206	3
Tgb2jm3	Tgb2jm3x	141	139	2
Tgb2nm3	Ugb2nm3	145	210	3
Tgb2nm3	Tgb2nm3x	145	7	4
Tgb2lm3	Ugb2lm3	15	80	6
Tgb2lm3	Tgb2lm3x	15	73	3
Tgb2li3	Ugb2li3	147	212	4
Tgb2li3	Tgb2li3x	147	69	5
Tgb2li7	Ugb2li7	151	216	5
Tgb2li7	Tgb2li7x	151	193	4
Tgb2lk7	Ugb2lk7	213	22	4
Tgb2lk7	Tgb2lk7x	213	67	4
Tgb2lk3	Ugb2lk3	209	18	4
Tgb2lk3	Tgb2lk3x	209	199	3
Tgb2lk2	Ugb2lk2	208	17	3
Tgb2lk2	Tgb2lk2x	208	168	4
Teb2lk2	Ueb2lk2	146	211	2
